Jewish Year,Month,Day,Audio File,,Document File,Audio Link,Doc Link,Match Type,Date 
5740,Teves,24,2537--5740-Tevet 24 Sicha 1.mp3,,,https://drive.google.com/file/d/1CS2oQUbev8W7VHOj27czPVpKj1ZY04rW/view,,AUDIO_ONLY,
5740,Teves,24,2538--5740-Tevet 24b Sicha 2.mp3,,,https://drive.google.com/file/d/1MjcBqPapjq76wbVYIXSbVAPTVyLKhl4x/view,,AUDIO_ONLY,
5740,Teves,24,2539--5740-Tevet 24c Sicha 3.mp3,,,https://drive.google.com/file/d/1m29HutaAvCUNI0yABPpOkc0d4v9Ta1NG/view,,AUDIO_ONLY,
5740,Shvat,10,2551--5740-Shvat 10g Sicha 6.mp3,,10 Shevat 5740 Sicha 5.docx,https://drive.google.com/file/d/1V4JgxQdZdKrGnb2ool23kj1eRQFqqZvm/view,https://docs.google.com/document/d/17y4JwsEqzViJPoA0Cd_veDtd8kmCmaw5/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2551--5740-Shvat 10g Sicha 6.mp3,,10 Shevat 5740 Sicha 4.docx,https://drive.google.com/file/d/1V4JgxQdZdKrGnb2ool23kj1eRQFqqZvm/view,https://docs.google.com/document/d/1r2y2e1Qy2dZl5csnGMdp4coViWM-CEmt/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2551--5740-Shvat 10g Sicha 6.mp3,,10 Shevat 5740 Sicha 6.docx,https://drive.google.com/file/d/1V4JgxQdZdKrGnb2ool23kj1eRQFqqZvm/view,https://docs.google.com/document/d/1bB-Q5pTGTx5UV-LOjrYY3RjjxoVykTS8/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2551--5740-Shvat 10g Sicha 6.mp3,,10 Shevat 5740 Sicha 3.docx,https://drive.google.com/file/d/1V4JgxQdZdKrGnb2ool23kj1eRQFqqZvm/view,https://docs.google.com/document/d/1GW_cnbrHk3ERfY-OdIsnedeUbpTVrKql/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2551--5740-Shvat 10g Sicha 6.mp3,,10 Shevat 5740 Sicha 2.docx,https://drive.google.com/file/d/1V4JgxQdZdKrGnb2ool23kj1eRQFqqZvm/view,https://docs.google.com/document/d/1MHdu4k4VBKmAMf9o4EfUhKCPWx93XkNs/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2551--5740-Shvat 10g Sicha 6.mp3,,10 Shevat 5740 Sicha 1.docx,https://drive.google.com/file/d/1V4JgxQdZdKrGnb2ool23kj1eRQFqqZvm/view,https://docs.google.com/document/d/1gNrZfk6gCuOriXmDNWexjTGDugXaPl8q/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2551--5740-Shvat 10g Sicha 6.mp3,,10 Shevat 5740 - Maamar.DOC,https://drive.google.com/file/d/1V4JgxQdZdKrGnb2ool23kj1eRQFqqZvm/view,https://docs.google.com/document/d/17TYbZnryCPg_buGdcUqykSVWuWRpqAfJ/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2551--5740-Shvat 10g Sicha 6.mp3,,10 Shvat 5740 Sichos 4-5.docx,https://drive.google.com/file/d/1V4JgxQdZdKrGnb2ool23kj1eRQFqqZvm/view,https://docs.google.com/document/d/1Bl5FYYWQo6Zni9E2-4nbAdD7nrNiUYlf/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2548--5740-Shvat 10d Sicha 4.mp3,,10 Shevat 5740 Sicha 5.docx,https://drive.google.com/file/d/1DWnxRvxJuJc5BbvD5ZRYeY2ejOn4F9GJ/view,https://docs.google.com/document/d/17y4JwsEqzViJPoA0Cd_veDtd8kmCmaw5/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2548--5740-Shvat 10d Sicha 4.mp3,,10 Shevat 5740 Sicha 4.docx,https://drive.google.com/file/d/1DWnxRvxJuJc5BbvD5ZRYeY2ejOn4F9GJ/view,https://docs.google.com/document/d/1r2y2e1Qy2dZl5csnGMdp4coViWM-CEmt/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2548--5740-Shvat 10d Sicha 4.mp3,,10 Shevat 5740 Sicha 6.docx,https://drive.google.com/file/d/1DWnxRvxJuJc5BbvD5ZRYeY2ejOn4F9GJ/view,https://docs.google.com/document/d/1bB-Q5pTGTx5UV-LOjrYY3RjjxoVykTS8/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2548--5740-Shvat 10d Sicha 4.mp3,,10 Shevat 5740 Sicha 3.docx,https://drive.google.com/file/d/1DWnxRvxJuJc5BbvD5ZRYeY2ejOn4F9GJ/view,https://docs.google.com/document/d/1GW_cnbrHk3ERfY-OdIsnedeUbpTVrKql/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2548--5740-Shvat 10d Sicha 4.mp3,,10 Shevat 5740 Sicha 2.docx,https://drive.google.com/file/d/1DWnxRvxJuJc5BbvD5ZRYeY2ejOn4F9GJ/view,https://docs.google.com/document/d/1MHdu4k4VBKmAMf9o4EfUhKCPWx93XkNs/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2548--5740-Shvat 10d Sicha 4.mp3,,10 Shevat 5740 Sicha 1.docx,https://drive.google.com/file/d/1DWnxRvxJuJc5BbvD5ZRYeY2ejOn4F9GJ/view,https://docs.google.com/document/d/1gNrZfk6gCuOriXmDNWexjTGDugXaPl8q/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2548--5740-Shvat 10d Sicha 4.mp3,,10 Shevat 5740 - Maamar.DOC,https://drive.google.com/file/d/1DWnxRvxJuJc5BbvD5ZRYeY2ejOn4F9GJ/view,https://docs.google.com/document/d/17TYbZnryCPg_buGdcUqykSVWuWRpqAfJ/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2548--5740-Shvat 10d Sicha 4.mp3,,10 Shvat 5740 Sichos 4-5.docx,https://drive.google.com/file/d/1DWnxRvxJuJc5BbvD5ZRYeY2ejOn4F9GJ/view,https://docs.google.com/document/d/1Bl5FYYWQo6Zni9E2-4nbAdD7nrNiUYlf/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
